raw_description,vat_code,cleaned_description,label
Pos Octopus Energy 103 Manchester Ltd Ref-4149,reduced_rate,pos octopus energy 103 manchester ltd ref 4149,2
IZ *QUICKBOOKS 7076  LTD REF-6510,standard_rate,iz quickbooks 7076 ltd ref 6510,3
DD AA BREAKDOWN 4984 UK,exempt,dd aa breakdown 4984 uk,0
DD POST OFFICE 7091  DIRECT,exempt,dd post office 7091 direct,0
Iz *Amazon Eu 5883 Uk Ltd Ref-7166,standard_rate,iz amazon eu 5883 uk ltd ref 7166,3
IZ *MICROSOFT 365 8770,standard_rate,iz microsoft 365 8770,3
DD DELIVEROO 143  STORE,standard_rate,dd deliveroo 143 store,3
SQ *TESCO EXPRESS 6676 LEEDS UK,zero_rated,sq tesco express 6676 leeds uk,4
HSBC BANK FEES UK STORE,exempt,hsbc bank fees uk store,0
iz *intra account transfer 7307  direct,outside_scope,iz intra account transfer 7307 direct,1
AMAZON KINDLE 5081,zero_rated,amazon kindle 5081,4
DD HMRC PAYMENTS 1558 GLASGOW PLC REF-1015,outside_scope,dd hmrc payments 1558 glasgow plc ref 1015,1
"2025-03-05 CLOVER SALES DEPOSIT 2,963.56 28,491.35",standard_rate,2025 03 05 clover sales deposit 2 963 56 28 491 35,3
PAYMENT TO LIDL GB 5058  PLC,zero_rated,payment to lidl gb 5058 plc,4
DD ROYAL MAIL BRISTOL DIRECT,exempt,dd royal mail bristol direct,0
PAYMENT TO TRAINLINE MANCHESTER STORE REF-5734,zero_rated,payment to trainline manchester store ref 5734,4
"Mar 15 POS Sales Deposit - Weekly DEP-0315 16,980.00 81,194.80",standard_rate,mar 15 pos sales deposit weekly dep 0315 16 980 00 81 194 80,3
SQ *EDF ENERGY 832  REF-2616,reduced_rate,sq edf energy 832 ref 2616,2
DD WESTMINSTER COUNCIL  REF-3354,outside_scope,dd westminster council ref 3354,1
DELIVEROO ONLINE DIRECT,standard_rate,deliveroo online direct,3
POS XERO SOFTWARE,standard_rate,pos xero software,3
DD HMRC SHIPLEY 9899 LONDON REF-7589,outside_scope,dd hmrc shipley 9899 london ref 7589,1
INTRA ACCOUNT TRANSFER 297  PLC,outside_scope,intra account transfer 297 plc,1
POS INTRA ACCOUNT TRANSFER 7876 BRISTOL LTD REF-2453,outside_scope,pos intra account transfer 7876 bristol ltd ref 2453,1
CARD HSBC BANK FEES  STORE,exempt,card hsbc bank fees store,0
PAYMENT TO HMRC SHIPLEY 6556  DIRECT REF-1611,outside_scope,payment to hmrc shipley 6556 direct ref 1611,1
trainline 6773  direct,zero_rated,trainline 6773 direct,4
CARD MICROSOFT 365 7009 BRISTOL UK,standard_rate,card microsoft 365 7009 bristol uk,3
Iz *Barclays Bank  Ltd,exempt,iz barclays bank ltd,0
card uber eats  store ref-3589,standard_rate,card uber eats store ref 3589,3
card uber eats  store ref-4946,standard_rate,card uber eats store ref 4946,3
WESTMINSTER COUNCIL 1664  UK,outside_scope,westminster council 1664 uk,1
XERO SOFTWARE 8059 MANCHESTER UK,standard_rate,xero software 8059 manchester uk,3
IZ *TRAINLINE GLASGOW,zero_rated,iz trainline glasgow,4
SQ *BARCLAYS BANK  UK,exempt,sq barclays bank uk,0
ADOBE CREATIVE MANCHESTER,standard_rate,adobe creative manchester,3
PAYMENT TO LINKEDIN PREMIUM 5175  REF-4714,standard_rate,payment to linkedin premium 5175 ref 4714,3
SQ *ROYAL MAIL 1892 BIRMINGHAM UK,exempt,sq royal mail 1892 birmingham uk,0
Iz *Barclays Bank 8320 Birmingham Uk,exempt,iz barclays bank 8320 birmingham uk,0
dd amazon eu 6811 manchester,standard_rate,dd amazon eu 6811 manchester,3
CARD AVIVA INSURANCE ONLINE,exempt,card aviva insurance online,0
IZ *AMAZON UK MANCHESTER,standard_rate,iz amazon uk manchester,3
PAYMENT TO WESTMINSTER COUNCIL 2548 MANCHESTER PLC,outside_scope,payment to westminster council 2548 manchester plc,1
DD AA BREAKDOWN 2111  DIRECT,exempt,dd aa breakdown 2111 direct,0
DD AVIVA INSURANCE UK DIRECT REF-7607,exempt,dd aviva insurance uk direct ref 7607,0
"Total Deposits & Credits $187,450.00",standard_rate,total deposits credits 187 450 00,3
SQ *UBER EATS 8864  UK,standard_rate,sq uber eats 8864 uk,3
NATIONAL EXPRESS 7757  LTD,zero_rated,national express 7757 ltd,4
lner tickets 2967 online ltd,zero_rated,lner tickets 2967 online ltd,4
AVIVA INSURANCE 1817 LEEDS ONLINE,exempt,aviva insurance 1817 leeds online,0
POS XERO SOFTWARE  ONLINE,standard_rate,pos xero software online,3
PAYMENT TO MICROSOFT 365 5738 LONDON PLC REF-3964,standard_rate,payment to microsoft 365 5738 london plc ref 3964,3
payment to uber eats 9877 glasgow online ref-1580,standard_rate,payment to uber eats 9877 glasgow online ref 1580,3
DD TESCO STORES UK ONLINE,zero_rated,dd tesco stores uk online,4
Tesco Express 9445 Leeds Direct Ref-8564,zero_rated,tesco express 9445 leeds direct ref 8564,4
IZ *HSBC BANK FEES  UK REF-3245,exempt,iz hsbc bank fees uk ref 3245,0
iz *amazon eu 8916 uk plc,standard_rate,iz amazon eu 8916 uk plc,3
POS ROYAL MAIL 6296,exempt,pos royal mail 6296,0
"Jan 25 POS Sales Deposit - Weekly DEP-0125 16,820.00 51,364.80",standard_rate,jan 25 pos sales deposit weekly dep 0125 16 820 00 51 364 80,3
PAYMENT TO TESCO STORES 7719  ONLINE REF-7043,zero_rated,payment to tesco stores 7719 online ref 7043,4
IZ *BOOTS UK BRISTOL LTD,standard_rate,iz boots uk bristol ltd,3
KY State Tax (5%): $561.70,standard_rate,ky state tax 5 561 70,3
POS BOOTS UK 3525 LONDON DIRECT REF-7945,standard_rate,pos boots uk 3525 london direct ref 7945,3
POS TRAINLINE MANCHESTER UK,zero_rated,pos trainline manchester uk,4
03/23/2025 US FOODS INC US FOODS INC $898.25,standard_rate,03 23 2025 us foods inc us foods inc 898 25,3
ROYAL MAIL  LTD,exempt,royal mail ltd,0
IZ *AMAZON UK 6125 BIRMINGHAM PLC REF-1345,standard_rate,iz amazon uk 6125 birmingham plc ref 1345,3
IZ *TRAINLINE 6836 UK LTD REF-5761,zero_rated,iz trainline 6836 uk ltd ref 5761,4
CARD LINKEDIN PREMIUM 6428  STORE,standard_rate,card linkedin premium 6428 store,3
PAYMENT TO BARCLAYS BANK 7302 MANCHESTER UK REF-5561,exempt,payment to barclays bank 7302 manchester uk ref 5561,0
sq *post office 7695 manchester direct,exempt,sq post office 7695 manchester direct,0
card boots uk 3744  store,standard_rate,card boots uk 3744 store,3
Payroll Transfer 1233  Store Ref-6687,outside_scope,payroll transfer 1233 store ref 6687,1
DD UBER EATS LEEDS DIRECT,standard_rate,dd uber eats leeds direct,3
PAYMENT TO LNER TICKETS 1700 GLASGOW,zero_rated,payment to lner tickets 1700 glasgow,4
Payment To Aa Breakdown 4759  Plc,exempt,payment to aa breakdown 4759 plc,0
CARD EON NEXT 8084  PLC REF-8476,reduced_rate,card eon next 8084 plc ref 8476,2
DD OCTOPUS ENERGY 1759 LEEDS DIRECT,reduced_rate,dd octopus energy 1759 leeds direct,2
DD QUICKBOOKS  ONLINE REF-6007,standard_rate,dd quickbooks online ref 6007,3
Edf Energy 5810 Glasgow Ref-3818,reduced_rate,edf energy 5810 glasgow ref 3818,2
SQ *ALDI STORES GLASGOW DIRECT,zero_rated,sq aldi stores glasgow direct,4
DD LINKEDIN PREMIUM 1700 LONDON PLC REF-4170,standard_rate,dd linkedin premium 1700 london plc ref 4170,3
PAYMENT TO AMAZON EU 317 LEEDS DIRECT,standard_rate,payment to amazon eu 317 leeds direct,3
CARD MICROSOFT 365 7504  UK REF-2134,standard_rate,card microsoft 365 7504 uk ref 2134,3
iz *asda supermarket  online,zero_rated,iz asda supermarket online,4
PAYMENT TO XERO SOFTWARE 6276  ONLINE REF-6236,standard_rate,payment to xero software 6276 online ref 6236,3
DD ASDA SUPERMARKET 3565  PLC,zero_rated,dd asda supermarket 3565 plc,4
payment to tfl travel 8798 birmingham,zero_rated,payment to tfl travel 8798 birmingham,4
Dd National Express 2904 Leeds Plc Ref-7997,zero_rated,dd national express 2904 leeds plc ref 7997,4
"NET PROFIT (Q1 2024) $45,621.35",standard_rate,net profit q1 2024 45 621 35,3
* Estimate only. Confirm with your CPA.,standard_rate,estimate only confirm with your cpa,3
PAYMENT TO POST OFFICE 1338  STORE REF-9120,exempt,payment to post office 1338 store ref 9120,0
POS NATIONAL EXPRESS 517 GLASGOW LTD,zero_rated,pos national express 517 glasgow ltd,4
DD AVIVA INSURANCE 4727 LEEDS DIRECT,exempt,dd aviva insurance 4727 leeds direct,0
PAYMENT TO TESCO STORES 1989 GLASGOW ONLINE REF-5279,zero_rated,payment to tesco stores 1989 glasgow online ref 5279,4
DD TESCO EXPRESS BIRMINGHAM PLC REF-2657,zero_rated,dd tesco express birmingham plc ref 2657,4
PAYMENT TO EDF ENERGY 9330 BRISTOL STORE REF-7584,reduced_rate,payment to edf energy 9330 bristol store ref 7584,2
PAYMENT TO BRITISH GAS 1385 BIRMINGHAM REF-4679,reduced_rate,payment to british gas 1385 birmingham ref 4679,2
CARD ADOBE CREATIVE LONDON LTD,standard_rate,card adobe creative london ltd,3
DD AVIVA INSURANCE 6240  PLC REF-7889,exempt,dd aviva insurance 6240 plc ref 7889,0
CARD LIDL GB LONDON,zero_rated,card lidl gb london,4
POS TESCO EXPRESS 9393 GLASGOW PLC,zero_rated,pos tesco express 9393 glasgow plc,4
PAYMENT TO AMAZON UK 1744 GLASGOW DIRECT REF-5275,standard_rate,payment to amazon uk 1744 glasgow direct ref 5275,3
card tesco express 8435 birmingham uk,zero_rated,card tesco express 8435 birmingham uk,4
"Feb 16 ADP Payroll Processing ACH-3304 8,450.00 61,954.80",standard_rate,feb 16 adp payroll processing ach 3304 8 450 00 61 954 80,3
DD INTRA ACCOUNT TRANSFER ONLINE LTD,outside_scope,dd intra account transfer online ltd,1
03/25/2025 GRUBHUB FEE GRUBHUB FEE $40.93,standard_rate,03 25 2025 grubhub fee grubhub fee 40 93,3
Pos Lner Tickets 8426 Bristol Online,zero_rated,pos lner tickets 8426 bristol online,4
PAYMENT TO LNER TICKETS 9163 BIRMINGHAM STORE,zero_rated,payment to lner tickets 9163 birmingham store,4
POS BRITISH GAS BRISTOL UK,reduced_rate,pos british gas bristol uk,2
IZ *SAGE SUBSCRIPTION  LTD REF-4214,standard_rate,iz sage subscription ltd ref 4214,3
PAYMENT TO INTRA ACCOUNT TRANSFER 1023  STORE REF-4576,outside_scope,payment to intra account transfer 1023 store ref 4576,1
iz *stationery station 8595  store,standard_rate,iz stationery station 8595 store,3
"+ $30,263.55 - $19,029.50 $+11,234.05 31",standard_rate,30 263 55 19 029 50 11 234 05 31,3
"2025-03-05 PAYCHEX INC PAYROLL 3,349.67 25,141.68",standard_rate,2025 03 05 paychex inc payroll 3 349 67 25 141 68,3
DD POST OFFICE 1820  PLC,exempt,dd post office 1820 plc,0
DD GOOGLE WORKSPACE GLASGOW PLC,standard_rate,dd google workspace glasgow plc,3
IZ *GOOGLE WORKSPACE 2438  ONLINE,standard_rate,iz google workspace 2438 online,3
IZ *ROYAL MAIL 2900 BIRMINGHAM LTD REF-2023,exempt,iz royal mail 2900 birmingham ltd ref 2023,0
PAYMENT TO AMAZON EU  LTD,standard_rate,payment to amazon eu ltd,3
iz *xero software  ref-2501,standard_rate,iz xero software ref 2501,3
STATIONERY STATION BRISTOL DIRECT,standard_rate,stationery station bristol direct,3
DD SAINSBURYS  ONLINE,zero_rated,dd sainsburys online,4
"2026-03-10 GRUBHUB TRANSFER 410.55 37,332.75",standard_rate,2026 03 10 grubhub transfer 410 55 37 332 75,3
DD XERO SOFTWARE 6330 BIRMINGHAM DIRECT REF-6635,standard_rate,dd xero software 6330 birmingham direct ref 6635,3
Sq *Sainsburys 1317 London Online Ref-1794,zero_rated,sq sainsburys 1317 london online ref 1794,4
IZ *QUICKBOOKS 8467 ONLINE UK REF-7690,standard_rate,iz quickbooks 8467 online uk ref 7690,3
Sq *Octopus Energy Glasgow Plc,reduced_rate,sq octopus energy glasgow plc,2
DD POST OFFICE ONLINE STORE,exempt,dd post office online store,0
PAYMENT TO QUICKBOOKS ONLINE,standard_rate,payment to quickbooks online,3
dd aviva insurance london uk,exempt,dd aviva insurance london uk,0
iz *uber eats 6388 uk,standard_rate,iz uber eats 6388 uk,3
sq *uber eats 730  store ref-7609,standard_rate,sq uber eats 730 store ref 7609,3
POS BRITISH GAS 8215  LTD,reduced_rate,pos british gas 8215 ltd,2
POS WESTMINSTER COUNCIL BRISTOL LTD,outside_scope,pos westminster council bristol ltd,1
CARD LINKEDIN PREMIUM 9026 LEEDS STORE,standard_rate,card linkedin premium 9026 leeds store,3
POS QUICKBOOKS GLASGOW,standard_rate,pos quickbooks glasgow,3
IZ *TFL TRAVEL 2221  STORE REF-7313,zero_rated,iz tfl travel 2221 store ref 7313,4
Payment To British Gas  Plc Ref-6109,reduced_rate,payment to british gas plc ref 6109,2
Trainline 8964  Plc,zero_rated,trainline 8964 plc,4
Payment To Tfl Travel 7530 Bristol,zero_rated,payment to tfl travel 7530 bristol,4
IZ *SAINSBURYS 6581  PLC,zero_rated,iz sainsburys 6581 plc,4
DD INTRA ACCOUNT TRANSFER 5764 BIRMINGHAM DIRECT,outside_scope,dd intra account transfer 5764 birmingham direct,1
payment to sainsburys 7611 manchester uk ref-6869,zero_rated,payment to sainsburys 7611 manchester uk ref 6869,4
pos aldi stores 5431 online ltd,zero_rated,pos aldi stores 5431 online ltd,4
PAYMENT TO SAGE SUBSCRIPTION LEEDS STORE REF-1132,standard_rate,payment to sage subscription leeds store ref 1132,3
LNER TICKETS 7296  STORE,zero_rated,lner tickets 7296 store,4
POS DELIVEROO  UK REF-2766,standard_rate,pos deliveroo uk ref 2766,3
Iz *Uber Eats  Store Ref-5752,standard_rate,iz uber eats store ref 5752,3
POS DIRECTOR DRAWINGS 3391  UK,outside_scope,pos director drawings 3391 uk,1
POS ADOBE CREATIVE 9539  LTD,standard_rate,pos adobe creative 9539 ltd,3
TESCO EXPRESS 9180  STORE,zero_rated,tesco express 9180 store,4
CARD TFL TRAVEL 9742  PLC REF-5353,zero_rated,card tfl travel 9742 plc ref 5353,4
Transaction History — March 2025,standard_rate,transaction history march 2025,3
IZ *AA BREAKDOWN 7935  STORE,exempt,iz aa breakdown 7935 store,0
DD PAYROLL TRANSFER 9415 MANCHESTER DIRECT,outside_scope,dd payroll transfer 9415 manchester direct,1
PAYMENT TO TRAINLINE 4330  LTD,zero_rated,payment to trainline 4330 ltd,4
PAYMENT TO AMAZON UK 6930 UK ONLINE REF-3364,standard_rate,payment to amazon uk 6930 uk online ref 3364,3
dd director drawings  plc ref-9587,outside_scope,dd director drawings plc ref 9587,1
BRITISH GAS  PLC REF-5249,reduced_rate,british gas plc ref 5249,2
IZ *UBER EATS 7513 MANCHESTER STORE REF-6956,standard_rate,iz uber eats 7513 manchester store ref 6956,3
Dd Amazon Kindle 8170 Uk Direct,zero_rated,dd amazon kindle 8170 uk direct,4
IZ *AMAZON UK ONLINE UK,standard_rate,iz amazon uk online uk,3
iz *linkedin premium 4379  direct,standard_rate,iz linkedin premium 4379 direct,3
SQ *LINKEDIN PREMIUM MANCHESTER STORE REF-1859,standard_rate,sq linkedin premium manchester store ref 1859,3
IZ *AA BREAKDOWN,exempt,iz aa breakdown,0
SQ *BARCLAYS BANK 3210  DIRECT,exempt,sq barclays bank 3210 direct,0
DD HSBC BANK FEES 6052 ONLINE UK,exempt,dd hsbc bank fees 6052 online uk,0
Pos Tesco Express  Online,zero_rated,pos tesco express online,4
payment to tesco express birmingham ltd,zero_rated,payment to tesco express birmingham ltd,4
DD LINKEDIN PREMIUM 6618  STORE REF-3557,standard_rate,dd linkedin premium 6618 store ref 3557,3
Dd Director Drawings 7584,outside_scope,dd director drawings 7584,1
Sq *Asda Supermarket 6405 Leeds Ltd,zero_rated,sq asda supermarket 6405 leeds ltd,4
CARD OCTOPUS ENERGY 7396  UK REF-2465,reduced_rate,card octopus energy 7396 uk ref 2465,2
TESCO EXPRESS  STORE,zero_rated,tesco express store,4
PAYMENT TO LNER TICKETS 5154 LONDON REF-4616,zero_rated,payment to lner tickets 5154 london ref 4616,4
POS OCTOPUS ENERGY LONDON UK,reduced_rate,pos octopus energy london uk,2
WESTMINSTER COUNCIL ONLINE,outside_scope,westminster council online,1
DD AMAZON KINDLE  LTD,zero_rated,dd amazon kindle ltd,4
DD ALDI STORES 259 BIRMINGHAM PLC,zero_rated,dd aldi stores 259 birmingham plc,4
PAYMENT TO ADOBE CREATIVE  UK,standard_rate,payment to adobe creative uk,3
CARD WATERSTONES 8269  PLC,zero_rated,card waterstones 8269 plc,4
PAYMENT TO HMRC SHIPLEY BIRMINGHAM STORE,outside_scope,payment to hmrc shipley birmingham store,1
dd royal mail 6707 online ltd,exempt,dd royal mail 6707 online ltd,0
Iz *Lidl Gb 9393 Uk Online,zero_rated,iz lidl gb 9393 uk online,4
Iz *Director Drawings 9577 Leeds Direct,outside_scope,iz director drawings 9577 leeds direct,1
PAYMENT TO DELIVEROO 6590  UK,standard_rate,payment to deliveroo 6590 uk,3
OCTOPUS ENERGY 2813  DIRECT REF-4610,reduced_rate,octopus energy 2813 direct ref 4610,2
PAYMENT TO LNER TICKETS 4218 LEEDS PLC REF-9879,zero_rated,payment to lner tickets 4218 leeds plc ref 9879,4
"Food & Beverage (COGS) Sysco Foods, Gordon Food, US Foods 12 $37,870.00",standard_rate,food beverage cogs sysco foods gordon food us foods 12 37 870 00,3
pos edf energy 434 manchester uk ref-1997,reduced_rate,pos edf energy 434 manchester uk ref 1997,2
SQ *LIDL GB 5897 MANCHESTER ONLINE REF-8074,zero_rated,sq lidl gb 5897 manchester online ref 8074,4
IZ *HMRC SHIPLEY  DIRECT,outside_scope,iz hmrc shipley direct,1
Payment To Aldi Stores Birmingham,zero_rated,payment to aldi stores birmingham,4
IZ *INTRA ACCOUNT TRANSFER 3114  PLC REF-3095,outside_scope,iz intra account transfer 3114 plc ref 3095,1
POS STATIONERY STATION 2481 ONLINE UK REF-9441,standard_rate,pos stationery station 2481 online uk ref 9441,3
DD EON NEXT 5940 MANCHESTER UK,reduced_rate,dd eon next 5940 manchester uk,2
tfl travel  uk ref-7414,zero_rated,tfl travel uk ref 7414,4
SQ *TESCO STORES,zero_rated,sq tesco stores,4
POS DELIVEROO 3943  ONLINE,standard_rate,pos deliveroo 3943 online,3
BRITISH GAS 8652 GLASGOW DIRECT,reduced_rate,british gas 8652 glasgow direct,2
Card Hsbc Bank Fees 4271,exempt,card hsbc bank fees 4271,0
SQ *ADOBE CREATIVE 3736 LONDON PLC,standard_rate,sq adobe creative 3736 london plc,3
SQ *SAINSBURYS 4106  LTD,zero_rated,sq sainsburys 4106 ltd,4
SQ *TESCO STORES 6301 UK UK,zero_rated,sq tesco stores 6301 uk uk,4
CARD HMRC SHIPLEY 9889  UK,outside_scope,card hmrc shipley 9889 uk,1
Sq *Eon Next 1920  Plc,reduced_rate,sq eon next 1920 plc,2
CARD HMRC PAYMENTS 9410 MANCHESTER DIRECT,outside_scope,card hmrc payments 9410 manchester direct,1
DD ROYAL MAIL 5089 ONLINE,exempt,dd royal mail 5089 online,0
pos british gas 7943  store,reduced_rate,pos british gas 7943 store,2
PAYMENT TO ASDA SUPERMARKET 1562 BRISTOL,zero_rated,payment to asda supermarket 1562 bristol,4
payment to sainsburys 4605  plc,zero_rated,payment to sainsburys 4605 plc,4
Iz *Amazon Kindle London Plc Ref-5937,zero_rated,iz amazon kindle london plc ref 5937,4
iz *sage subscription  online ref-3646,standard_rate,iz sage subscription online ref 3646,3
POS BRITISH GAS  REF-3400,reduced_rate,pos british gas ref 3400,2
dd amazon uk london plc ref-5544,standard_rate,dd amazon uk london plc ref 5544,3
Card Eon Next 5026 Manchester Uk,reduced_rate,card eon next 5026 manchester uk,2
card sage subscription  direct,standard_rate,card sage subscription direct,3
SQ *TRAINLINE 5532  STORE REF-3199,zero_rated,sq trainline 5532 store ref 3199,4
SQ *PAYROLL TRANSFER 9589  REF-5466,outside_scope,sq payroll transfer 9589 ref 5466,1
"Jan 11 POS Sales Deposit - Weekly DEP-0111 14,320.00 47,604.80",standard_rate,jan 11 pos sales deposit weekly dep 0111 14 320 00 47 604 80,3
"Jan 06 POS Sales Deposit - Daily DEP-0106 4,105.75 36,364.80",standard_rate,jan 06 pos sales deposit daily dep 0106 4 105 75 36 364 80,3
POS NATIONAL EXPRESS 7965 BIRMINGHAM ONLINE,zero_rated,pos national express 7965 birmingham online,4
CARD TESCO STORES 4197  STORE,zero_rated,card tesco stores 4197 store,4
CARD AVIVA INSURANCE  STORE REF-6130,exempt,card aviva insurance store ref 6130,0
IZ *INTRA ACCOUNT TRANSFER 9990 BIRMINGHAM REF-4621,outside_scope,iz intra account transfer 9990 birmingham ref 4621,1
IZ *SAINSBURYS 7152 GLASGOW ONLINE,zero_rated,iz sainsburys 7152 glasgow online,4
Account Type: Business Checking - Premium Branch: Lincoln Park Branch,standard_rate,account type business checking premium branch lincoln park branch,3
"Feb 26 Beverage Distributor - Liquor ACH-6613 2,350.00 67,064.80",standard_rate,feb 26 beverage distributor liquor ach 6613 2 350 00 67 064 80,3
PAYMENT TO WATERSTONES GLASGOW ONLINE REF-2377,zero_rated,payment to waterstones glasgow online ref 2377,4
LINKEDIN PREMIUM 8600 ONLINE LTD REF-2812,standard_rate,linkedin premium 8600 online ltd ref 2812,3
CARD BARCLAYS BANK LEEDS,exempt,card barclays bank leeds,0
SQ *TRAINLINE 9613  REF-3215,zero_rated,sq trainline 9613 ref 3215,4
"Feb 18 US Foods - Meat & Dairy ACH-9922 3,420.00 58,534.80",standard_rate,feb 18 us foods meat dairy ach 9922 3 420 00 58 534 80,3
CARD AMAZON EU  LTD,standard_rate,card amazon eu ltd,3
DD ALDI STORES 8556 LONDON STORE REF-1807,zero_rated,dd aldi stores 8556 london store ref 1807,4
"Mar 01 ADP Payroll Processing ACH-3305 8,450.00 73,814.80",standard_rate,mar 01 adp payroll processing ach 3305 8 450 00 73 814 80,3
royal mail 3180  ltd,exempt,royal mail 3180 ltd,0
DD SAGE SUBSCRIPTION  UK REF-8503,standard_rate,dd sage subscription uk ref 8503,3
IZ *MICROSOFT 365  ONLINE REF-9051,standard_rate,iz microsoft 365 online ref 9051,3
sq *linkedin premium 907 bristol ltd ref-9292,standard_rate,sq linkedin premium 907 bristol ltd ref 9292,3
DD TESCO EXPRESS 7398 MANCHESTER ONLINE REF-8429,zero_rated,dd tesco express 7398 manchester online ref 8429,4
POS DELIVEROO 5470  REF-6380,standard_rate,pos deliveroo 5470 ref 6380,3
PAYMENT TO ROYAL MAIL LONDON ONLINE REF-8007,exempt,payment to royal mail london online ref 8007,0
CARD STATIONERY STATION 498 LONDON STORE REF-2906,standard_rate,card stationery station 498 london store ref 2906,3
IZ *WATERSTONES 8867  LTD REF-8616,zero_rated,iz waterstones 8867 ltd ref 8616,4
CARD AMAZON UK 4062  UK,standard_rate,card amazon uk 4062 uk,3
PAYMENT TO GOOGLE WORKSPACE MANCHESTER STORE,standard_rate,payment to google workspace manchester store,3
SQ *OCTOPUS ENERGY 606 MANCHESTER UK,reduced_rate,sq octopus energy 606 manchester uk,2
IZ *ADOBE CREATIVE 5732 LONDON PLC REF-4124,standard_rate,iz adobe creative 5732 london plc ref 4124,3
CARD TESCO STORES 1733,zero_rated,card tesco stores 1733,4
PAYMENT TO HMRC SHIPLEY 3287 BRISTOL REF-7729,outside_scope,payment to hmrc shipley 3287 bristol ref 7729,1
