raw_description,vat_code,base_merchant
Pos Waterstones 8753 Manchester Uk,zero_rated,WATERSTONES
IZ *AA BREAKDOWN 7905 LEEDS UK REF-5036,exempt,AA BREAKDOWN
IZ *LNER TICKETS 6441  STORE REF-1683,zero_rated,LNER TICKETS
SQ *TRAINLINE  LTD,zero_rated,TRAINLINE
ALDI STORES  UK,zero_rated,ALDI STORES
SQ *TFL TRAVEL LEEDS UK REF-1969,zero_rated,TFL TRAVEL
sq *lner tickets 6524 birmingham online,zero_rated,LNER TICKETS
iz *hmrc shipley 1446 bristol ltd,outside_scope,HMRC SHIPLEY
POS BARCLAYS BANK 796 ONLINE STORE,exempt,BARCLAYS BANK
card deliveroo 8273 online uk ref-5626,standard_rate,DELIVEROO
Payment To Amazon Kindle 9306 Online Online Ref-8159,zero_rated,AMAZON KINDLE
DD QUICKBOOKS 7450 GLASGOW STORE REF-7789,standard_rate,QUICKBOOKS
DELIVEROO 5270 ONLINE LTD REF-7297,standard_rate,DELIVEROO
Pos Quickbooks 366 Leeds Online Ref-4776,standard_rate,QUICKBOOKS
WESTMINSTER COUNCIL 9586 BRISTOL STORE,outside_scope,WESTMINSTER COUNCIL
IZ *HMRC PAYMENTS 5844 LEEDS ONLINE REF-9877,outside_scope,HMRC PAYMENTS
DD TFL TRAVEL BRISTOL,zero_rated,TFL TRAVEL
IZ *LINKEDIN PREMIUM  PLC,standard_rate,LINKEDIN PREMIUM
Iz *Amazon Uk 6010 Uk Direct Ref-7471,standard_rate,AMAZON UK
pos payroll transfer 9242 leeds plc ref-1872,outside_scope,PAYROLL TRANSFER
ROYAL MAIL  LTD,exempt,ROYAL MAIL
PAYMENT TO AMAZON UK 7860 LEEDS,standard_rate,AMAZON UK
IZ *DELIVEROO GLASGOW LTD,standard_rate,DELIVEROO
Payment To Amazon Kindle Online Uk Ref-3501,zero_rated,AMAZON KINDLE
SQ *AA BREAKDOWN  STORE,exempt,AA BREAKDOWN
POS SAINSBURYS 2825  REF-1725,zero_rated,SAINSBURYS
POS BARCLAYS BANK 6948  UK REF-1899,exempt,BARCLAYS BANK
STATIONERY STATION LEEDS,standard_rate,STATIONERY STATION
Pos Payroll Transfer 8052 Leeds Direct Ref-8117,outside_scope,PAYROLL TRANSFER
Iz *Director Drawings  Direct,outside_scope,DIRECTOR DRAWINGS
CARD PAYROLL TRANSFER 5128 GLASGOW,outside_scope,PAYROLL TRANSFER
microsoft 365 8976 uk,standard_rate,MICROSOFT 365
Iz *Asda Supermarket 5717  Ref-8419,zero_rated,ASDA SUPERMARKET
Intra Account Transfer 6434 Uk Online,outside_scope,INTRA ACCOUNT TRANSFER
pos amazon kindle  store,zero_rated,AMAZON KINDLE
PAYMENT TO EDF ENERGY 2148 LEEDS ONLINE REF-6782,reduced_rate,EDF ENERGY
AMAZON UK 6458 UK UK,standard_rate,AMAZON UK
pos xero software bristol store,standard_rate,XERO SOFTWARE
PAYMENT TO GOOGLE WORKSPACE 2613  REF-7357,standard_rate,GOOGLE WORKSPACE
sq *tesco stores 1871 birmingham online,zero_rated,TESCO STORES
HMRC PAYMENTS  STORE REF-5725,outside_scope,HMRC PAYMENTS
POS PAYROLL TRANSFER 9067  PLC,outside_scope,PAYROLL TRANSFER
DD TESCO EXPRESS 8111 LEEDS UK,zero_rated,TESCO EXPRESS
TESCO EXPRESS 4481 LONDON STORE,zero_rated,TESCO EXPRESS
iz *eon next 7572,reduced_rate,EON NEXT
POS AA BREAKDOWN BRISTOL PLC REF-6366,exempt,AA BREAKDOWN
IZ *INTRA ACCOUNT TRANSFER GLASGOW DIRECT,outside_scope,INTRA ACCOUNT TRANSFER
CARD POST OFFICE BIRMINGHAM ONLINE,exempt,POST OFFICE
Sq *Boots Uk 9757 Manchester Uk Ref-5917,standard_rate,BOOTS UK
Dd Amazon Eu  Plc,standard_rate,AMAZON EU
POS MICROSOFT 365 9327 LEEDS LTD,standard_rate,MICROSOFT 365
CARD HMRC SHIPLEY 1631 GLASGOW ONLINE REF-8484,outside_scope,HMRC SHIPLEY
sq *director drawings 9051 birmingham store,outside_scope,DIRECTOR DRAWINGS
BOOTS UK 2017 ONLINE STORE,standard_rate,BOOTS UK
CARD AMAZON UK 4482  REF-9444,standard_rate,AMAZON UK
PAYMENT TO BRITISH GAS 1813 LONDON ONLINE REF-1129,reduced_rate,BRITISH GAS
POS AMAZON EU LEEDS DIRECT,standard_rate,AMAZON EU
CARD HSBC BANK FEES 4666 ONLINE REF-1344,exempt,HSBC BANK FEES
IZ *WATERSTONES 365 GLASGOW STORE,zero_rated,WATERSTONES
payment to octopus energy online,reduced_rate,OCTOPUS ENERGY
national express 3003 manchester,zero_rated,NATIONAL EXPRESS
CARD SAGE SUBSCRIPTION BIRMINGHAM UK REF-7583,standard_rate,SAGE SUBSCRIPTION
DD TESCO STORES  STORE REF-4750,zero_rated,TESCO STORES
PAYMENT TO TESCO STORES 7719  ONLINE REF-7043,zero_rated,TESCO STORES
DD BOOTS UK MANCHESTER PLC REF-2144,standard_rate,BOOTS UK
Card Trainline  Uk Ref-5749,zero_rated,TRAINLINE
dd westminster council 4944  store,outside_scope,WESTMINSTER COUNCIL
SQ *ADOBE CREATIVE 8742  REF-5471,standard_rate,ADOBE CREATIVE
Pos Trainline  Online,zero_rated,TRAINLINE
DD BARCLAYS BANK 2198 LEEDS LTD REF-5490,exempt,BARCLAYS BANK
IZ *ROYAL MAIL  LTD REF-7694,exempt,ROYAL MAIL
Pos Quickbooks,standard_rate,QUICKBOOKS
IZ *HMRC PAYMENTS 3450,outside_scope,HMRC PAYMENTS
POS AVIVA INSURANCE 6618  ONLINE,exempt,AVIVA INSURANCE
Iz *Tfl Travel 4219 London Uk,zero_rated,TFL TRAVEL
DD AMAZON EU 8551 LEEDS PLC,standard_rate,AMAZON EU
LIDL GB 7544 ONLINE ONLINE,zero_rated,LIDL GB
NATIONAL EXPRESS 4745 MANCHESTER ONLINE,zero_rated,NATIONAL EXPRESS
Sq *British Gas 7211 Glasgow Plc Ref-1935,reduced_rate,BRITISH GAS
POS INTRA ACCOUNT TRANSFER MANCHESTER UK,outside_scope,INTRA ACCOUNT TRANSFER
Card Boots Uk 9641  Ltd,standard_rate,BOOTS UK
POS XERO SOFTWARE  ONLINE REF-9786,standard_rate,XERO SOFTWARE
CARD BRITISH GAS 4665 MANCHESTER UK,reduced_rate,BRITISH GAS
POS NATIONAL EXPRESS 7953  DIRECT,zero_rated,NATIONAL EXPRESS
CARD BRITISH GAS  LTD REF-9281,reduced_rate,BRITISH GAS
Dd Sainsburys 4466  Plc,zero_rated,SAINSBURYS
SQ *AMAZON EU 8581  UK,standard_rate,AMAZON EU
CARD HMRC PAYMENTS 655 UK PLC,outside_scope,HMRC PAYMENTS
IZ *NATIONAL EXPRESS 9420  ONLINE,zero_rated,NATIONAL EXPRESS
PAYMENT TO HSBC BANK FEES LEEDS REF-4153,exempt,HSBC BANK FEES
SQ *STATIONERY STATION 1887 GLASGOW DIRECT,standard_rate,STATIONERY STATION
IZ *STATIONERY STATION MANCHESTER DIRECT REF-9899,standard_rate,STATIONERY STATION
IZ *LNER TICKETS 7318 LEEDS LTD,zero_rated,LNER TICKETS
SQ *ASDA SUPERMARKET,zero_rated,ASDA SUPERMARKET
IZ *TRAINLINE 2758 MANCHESTER LTD,zero_rated,TRAINLINE
Iz *Deliveroo Glasgow Ltd Ref-9673,standard_rate,DELIVEROO
CARD AVIVA INSURANCE  STORE REF-6130,exempt,AVIVA INSURANCE
Iz *Amazon Kindle London Plc,zero_rated,AMAZON KINDLE
Dd Lner Tickets 6208 Glasgow Ltd,zero_rated,LNER TICKETS
IZ *ROYAL MAIL 8486 LEEDS PLC,exempt,ROYAL MAIL
POS WATERSTONES 366 LONDON STORE,zero_rated,WATERSTONES
IZ *WESTMINSTER COUNCIL 3267 GLASGOW UK,outside_scope,WESTMINSTER COUNCIL
payment to tfl travel 8798 birmingham,zero_rated,TFL TRAVEL
EDF ENERGY 7858 GLASGOW ONLINE,reduced_rate,EDF ENERGY
payment to waterstones 7342 bristol uk ref-3301,zero_rated,WATERSTONES
POS LNER TICKETS 1519 BRISTOL LTD REF-6116,zero_rated,LNER TICKETS
card sage subscription 4578 leeds direct,standard_rate,SAGE SUBSCRIPTION
hmrc payments 8490 london plc ref-7830,outside_scope,HMRC PAYMENTS
IZ *LIDL GB  PLC,zero_rated,LIDL GB
Payment To Aa Breakdown 9220 Glasgow Ltd,exempt,AA BREAKDOWN
INTRA ACCOUNT TRANSFER BRISTOL LTD,outside_scope,INTRA ACCOUNT TRANSFER
TRAINLINE LEEDS UK,zero_rated,TRAINLINE
SQ *AMAZON EU 8648 LONDON STORE,standard_rate,AMAZON EU
PAYMENT TO UBER EATS 990 ONLINE,standard_rate,UBER EATS
DD SAGE SUBSCRIPTION 2012  UK REF-3593,standard_rate,SAGE SUBSCRIPTION
IZ *GOOGLE WORKSPACE 3888 LEEDS LTD,standard_rate,GOOGLE WORKSPACE
EDF ENERGY 5176 LEEDS PLC,reduced_rate,EDF ENERGY
IZ *UBER EATS 5571 LONDON UK,standard_rate,UBER EATS
DD EDF ENERGY UK PLC,reduced_rate,EDF ENERGY
amazon eu 8499 london direct ref-3445,standard_rate,AMAZON EU
IZ *QUICKBOOKS 3217  UK,standard_rate,QUICKBOOKS
CARD BARCLAYS BANK 1036  LTD,exempt,BARCLAYS BANK
DD ALDI STORES  STORE REF-6621,zero_rated,ALDI STORES
CARD HMRC SHIPLEY 8053 GLASGOW ONLINE REF-4351,outside_scope,HMRC SHIPLEY
dd microsoft 365 online plc,standard_rate,MICROSOFT 365
DD LINKEDIN PREMIUM 1700 LONDON PLC REF-4170,standard_rate,LINKEDIN PREMIUM
IZ *XERO SOFTWARE MANCHESTER PLC,standard_rate,XERO SOFTWARE
POS OCTOPUS ENERGY 2798  STORE REF-6486,reduced_rate,OCTOPUS ENERGY
CARD EDF ENERGY 7910  LTD REF-3317,reduced_rate,EDF ENERGY
dd sage subscription 6969 leeds uk ref-4360,standard_rate,SAGE SUBSCRIPTION
CARD GOOGLE WORKSPACE 5461  LTD,standard_rate,GOOGLE WORKSPACE
IZ *XERO SOFTWARE 1139  LTD,standard_rate,XERO SOFTWARE
IZ *PAYROLL TRANSFER  STORE REF-3390,outside_scope,PAYROLL TRANSFER
CARD WESTMINSTER COUNCIL 8005  STORE,outside_scope,WESTMINSTER COUNCIL
DD TESCO STORES LEEDS ONLINE,zero_rated,TESCO STORES
IZ *POST OFFICE 1446  UK REF-9972,exempt,POST OFFICE
POS BOOTS UK 4357  UK REF-7368,standard_rate,BOOTS UK
Iz *Lner Tickets 8652 Uk,zero_rated,LNER TICKETS
CARD SAGE SUBSCRIPTION  STORE,standard_rate,SAGE SUBSCRIPTION
IZ *TESCO EXPRESS 1308 ONLINE DIRECT,zero_rated,TESCO EXPRESS
DD EDF ENERGY ONLINE PLC,reduced_rate,EDF ENERGY
iz *westminster council 1219 uk plc ref-7952,outside_scope,WESTMINSTER COUNCIL
PAYMENT TO ALDI STORES 6199  DIRECT,zero_rated,ALDI STORES
AMAZON KINDLE 2190 ONLINE STORE,zero_rated,AMAZON KINDLE
Iz *Tfl Travel 930  Ltd,zero_rated,TFL TRAVEL
Iz *Xero Software 3709 London Uk,standard_rate,XERO SOFTWARE
SQ *TESCO EXPRESS 810 LEEDS LTD REF-9543,zero_rated,TESCO EXPRESS
IZ *AMAZON EU 2128 BRISTOL LTD REF-2395,standard_rate,AMAZON EU
CARD UBER EATS 230  LTD,standard_rate,UBER EATS
DD POST OFFICE 723 MANCHESTER PLC REF-7298,exempt,POST OFFICE
DD HMRC SHIPLEY ONLINE UK REF-6056,outside_scope,HMRC SHIPLEY
IZ *EDF ENERGY ONLINE DIRECT,reduced_rate,EDF ENERGY
Payment To Amazon Kindle 6507 Glasgow Online,zero_rated,AMAZON KINDLE
sq *boots uk  direct ref-8039,standard_rate,BOOTS UK
IZ *HMRC PAYMENTS LONDON STORE REF-4439,outside_scope,HMRC PAYMENTS
payroll transfer 7588  store ref-6356,outside_scope,PAYROLL TRANSFER
uber eats 8184  ltd,standard_rate,UBER EATS
TFL TRAVEL 1716 LEEDS PLC,zero_rated,TFL TRAVEL
Sq *Hsbc Bank Fees 6499 Bristol Ltd,exempt,HSBC BANK FEES
POS AMAZON KINDLE 6923  PLC,zero_rated,AMAZON KINDLE
POS POST OFFICE 487 BRISTOL STORE,exempt,POST OFFICE
DD EDF ENERGY LONDON STORE,reduced_rate,EDF ENERGY
DD WATERSTONES 2380 GLASGOW STORE REF-4268,zero_rated,WATERSTONES
POS AVIVA INSURANCE  STORE REF-7246,exempt,AVIVA INSURANCE
dd quickbooks 917  uk,standard_rate,QUICKBOOKS
Payment To Intra Account Transfer 4154 Online Direct Ref-4331,outside_scope,INTRA ACCOUNT TRANSFER
PAYMENT TO TESCO STORES 7632 GLASGOW LTD REF-8135,zero_rated,TESCO STORES
SQ *ASDA SUPERMARKET BRISTOL STORE REF-6633,zero_rated,ASDA SUPERMARKET
DD STATIONERY STATION 1615  ONLINE REF-8053,standard_rate,STATIONERY STATION
Payment To Amazon Kindle 5637  Direct Ref-5092,zero_rated,AMAZON KINDLE
payment to adobe creative glasgow store,standard_rate,ADOBE CREATIVE
SQ *INTRA ACCOUNT TRANSFER  LTD,outside_scope,INTRA ACCOUNT TRANSFER
PAYMENT TO EON NEXT 9515 BIRMINGHAM,reduced_rate,EON NEXT
Payment To Eon Next  Uk,reduced_rate,EON NEXT
Card British Gas 2008 Bristol Ltd Ref-2295,reduced_rate,BRITISH GAS
pos edf energy 6470  direct,reduced_rate,EDF ENERGY
POS UBER EATS 882  PLC,standard_rate,UBER EATS
dd lidl gb leeds online,zero_rated,LIDL GB
SQ *EDF ENERGY 2006 ONLINE UK REF-2072,reduced_rate,EDF ENERGY
SQ *ASDA SUPERMARKET 9417  DIRECT,zero_rated,ASDA SUPERMARKET
Payment To Barclays Bank 4397  Ltd Ref-6614,exempt,BARCLAYS BANK
PAYMENT TO AA BREAKDOWN 8030  DIRECT,exempt,AA BREAKDOWN
DD WESTMINSTER COUNCIL  REF-3354,outside_scope,WESTMINSTER COUNCIL
Payment To Hmrc Shipley 8835 Bristol Plc,outside_scope,HMRC SHIPLEY
DD ASDA SUPERMARKET 9075 BRISTOL DIRECT REF-4560,zero_rated,ASDA SUPERMARKET
Dd Tfl Travel  Uk,zero_rated,TFL TRAVEL
sq *tfl travel 5195 bristol direct ref-2572,zero_rated,TFL TRAVEL
card tesco express 4803 london direct,zero_rated,TESCO EXPRESS
sq *google workspace 9446 glasgow store,standard_rate,GOOGLE WORKSPACE
SQ *ROYAL MAIL 3439 ONLINE PLC,exempt,ROYAL MAIL
Dd Tfl Travel 4886 Bristol Uk Ref-6036,zero_rated,TFL TRAVEL
PAYMENT TO TFL TRAVEL 2675  DIRECT,zero_rated,TFL TRAVEL
POS POST OFFICE  ONLINE,exempt,POST OFFICE
DD BRITISH GAS 271 LONDON UK,reduced_rate,BRITISH GAS
CARD LINKEDIN PREMIUM ONLINE ONLINE,standard_rate,LINKEDIN PREMIUM
DD TRAINLINE BIRMINGHAM STORE,zero_rated,TRAINLINE
Sq *Director Drawings 9582 London Store Ref-6106,outside_scope,DIRECTOR DRAWINGS
card tesco express 8435 birmingham uk,zero_rated,TESCO EXPRESS
Dd National Express 2904 Leeds Plc Ref-7997,zero_rated,NATIONAL EXPRESS
POS HMRC PAYMENTS LEEDS STORE,outside_scope,HMRC PAYMENTS
DD HMRC PAYMENTS 3347  ONLINE REF-8023,outside_scope,HMRC PAYMENTS
CARD AMAZON EU LONDON ONLINE,standard_rate,AMAZON EU
SQ *BOOTS UK 3285  DIRECT,standard_rate,BOOTS UK
SQ *HSBC BANK FEES 1392 BRISTOL,exempt,HSBC BANK FEES
ROYAL MAIL  STORE REF-6856,exempt,ROYAL MAIL
IZ *ROYAL MAIL 3189 LEEDS PLC REF-1063,exempt,ROYAL MAIL
DD AMAZON UK  DIRECT REF-7598,standard_rate,AMAZON UK
PAYMENT TO SAGE SUBSCRIPTION 533 BIRMINGHAM UK,standard_rate,SAGE SUBSCRIPTION
IZ *WATERSTONES 5312 BIRMINGHAM DIRECT,zero_rated,WATERSTONES
IZ *MICROSOFT 365 2815 BRISTOL ONLINE,standard_rate,MICROSOFT 365
Iz *Tesco Stores 3133  Plc,zero_rated,TESCO STORES
Pos Sainsburys  Ltd,zero_rated,SAINSBURYS
Dd Tfl Travel 8228  Online,zero_rated,TFL TRAVEL
CARD TESCO EXPRESS UK ONLINE,zero_rated,TESCO EXPRESS
PAYMENT TO HMRC PAYMENTS 6413  DIRECT,outside_scope,HMRC PAYMENTS
DD QUICKBOOKS 320 LONDON DIRECT REF-1603,standard_rate,QUICKBOOKS
POST OFFICE 2539 BRISTOL ONLINE,exempt,POST OFFICE
sq *national express 2178 london store ref-1619,zero_rated,NATIONAL EXPRESS
Sq *Post Office Leeds Store Ref-7070,exempt,POST OFFICE
Sq *Lner Tickets 1493 Leeds Uk,zero_rated,LNER TICKETS
POS BOOTS UK 1582 LEEDS LTD,standard_rate,BOOTS UK
SQ *DIRECTOR DRAWINGS UK LTD,outside_scope,DIRECTOR DRAWINGS
POS SAGE SUBSCRIPTION 2050 ONLINE PLC,standard_rate,SAGE SUBSCRIPTION
Payment To Octopus Energy Online Direct,reduced_rate,OCTOPUS ENERGY
PAYMENT TO UBER EATS LONDON REF-1093,standard_rate,UBER EATS
Payment To Aviva Insurance 9020 Bristol,exempt,AVIVA INSURANCE
SQ *LINKEDIN PREMIUM  ONLINE,standard_rate,LINKEDIN PREMIUM
DD BARCLAYS BANK MANCHESTER UK,exempt,BARCLAYS BANK
Dd Amazon Kindle 8170 Uk Direct,zero_rated,AMAZON KINDLE
PAYMENT TO HMRC PAYMENTS UK UK,outside_scope,HMRC PAYMENTS
PAYMENT TO EDF ENERGY 7605  UK REF-6454,reduced_rate,EDF ENERGY
CARD STATIONERY STATION  STORE,standard_rate,STATIONERY STATION
iz *trainline 5629 london ltd,zero_rated,TRAINLINE
DD TESCO EXPRESS GLASGOW UK REF-5902,zero_rated,TESCO EXPRESS
PAYMENT TO POST OFFICE 5283 MANCHESTER STORE REF-1767,exempt,POST OFFICE
SQ *GOOGLE WORKSPACE 2944 LONDON,standard_rate,GOOGLE WORKSPACE
iz *tesco stores leeds uk ref-9837,zero_rated,TESCO STORES
Payment To Tesco Express 5859 Birmingham Store,zero_rated,TESCO EXPRESS
DD ALDI STORES 6466  LTD REF-9615,zero_rated,ALDI STORES
POS HMRC PAYMENTS 8692 BRISTOL DIRECT REF-7567,outside_scope,HMRC PAYMENTS
Dd Tesco Stores Uk Plc,zero_rated,TESCO STORES
PAYMENT TO INTRA ACCOUNT TRANSFER 8735  UK REF-2073,outside_scope,INTRA ACCOUNT TRANSFER
IZ *TESCO EXPRESS 6680  LTD,zero_rated,TESCO EXPRESS
Iz *Tfl Travel 6219 Leeds Ref-6771,zero_rated,TFL TRAVEL
IZ *AA BREAKDOWN  ONLINE REF-2302,exempt,AA BREAKDOWN
CARD STATIONERY STATION 6954  DIRECT,standard_rate,STATIONERY STATION
CARD STATIONERY STATION 8925 LEEDS STORE,standard_rate,STATIONERY STATION
card amazon kindle 1941 online plc,zero_rated,AMAZON KINDLE
iz *tesco express 5353  store,zero_rated,TESCO EXPRESS
DD HMRC PAYMENTS 2502  UK REF-5452,outside_scope,HMRC PAYMENTS
dd director drawings  online,outside_scope,DIRECTOR DRAWINGS
card asda supermarket 3834 manchester uk,zero_rated,ASDA SUPERMARKET
payment to post office 9713  plc ref-9199,exempt,POST OFFICE
SQ *ALDI STORES 7936  PLC REF-1533,zero_rated,ALDI STORES
SQ *ASDA SUPERMARKET 7020 BRISTOL ONLINE REF-9564,zero_rated,ASDA SUPERMARKET
pos xero software glasgow ltd ref-5612,standard_rate,XERO SOFTWARE
POS TESCO STORES 7554  DIRECT,zero_rated,TESCO STORES
IZ *HMRC PAYMENTS 1025 UK DIRECT,outside_scope,HMRC PAYMENTS
DD BRITISH GAS 1669 UK DIRECT,reduced_rate,BRITISH GAS
DD ROYAL MAIL  UK REF-5201,exempt,ROYAL MAIL
sq *aldi stores  online ref-7436,zero_rated,ALDI STORES
DD DELIVEROO UK DIRECT REF-2315,standard_rate,DELIVEROO
payment to post office 6272 bristol,exempt,POST OFFICE
PAYMENT TO UBER EATS UK PLC REF-6316,standard_rate,UBER EATS
PAYMENT TO TESCO EXPRESS 6943 ONLINE LTD,zero_rated,TESCO EXPRESS
Pos Stationery Station 6782 Leeds Store Ref-5404,standard_rate,STATIONERY STATION
IZ *LIDL GB 9525 MANCHESTER DIRECT,zero_rated,LIDL GB
DD HSBC BANK FEES 8173 BIRMINGHAM,exempt,HSBC BANK FEES
IZ *WESTMINSTER COUNCIL,outside_scope,WESTMINSTER COUNCIL
DD POST OFFICE 2233  DIRECT,exempt,POST OFFICE
CARD TRAINLINE 123 ONLINE,zero_rated,TRAINLINE
sq *post office london store ref-1531,exempt,POST OFFICE
DD AMAZON KINDLE  LTD REF-9401,zero_rated,AMAZON KINDLE
Dd Quickbooks 3067 Glasgow Online Ref-3375,standard_rate,QUICKBOOKS
CARD XERO SOFTWARE 9920 BRISTOL ONLINE,standard_rate,XERO SOFTWARE
DD MICROSOFT 365 1104  STORE REF-3233,standard_rate,MICROSOFT 365
Pos Waterstones 3821  Plc,zero_rated,WATERSTONES
Iz *Intra Account Transfer 8756 Online,outside_scope,INTRA ACCOUNT TRANSFER
IZ *UBER EATS BRISTOL UK REF-1794,standard_rate,UBER EATS
BRITISH GAS 8652 GLASGOW DIRECT,reduced_rate,BRITISH GAS
PAYMENT TO DELIVEROO 4246  STORE REF-2883,standard_rate,DELIVEROO
lidl gb  uk ref-2431,zero_rated,LIDL GB
POS SAINSBURYS LONDON ONLINE,zero_rated,SAINSBURYS
DD DIRECTOR DRAWINGS BIRMINGHAM STORE REF-5783,outside_scope,DIRECTOR DRAWINGS
IZ *ADOBE CREATIVE 4868  LTD,standard_rate,ADOBE CREATIVE
DD DELIVEROO 7124 ONLINE,standard_rate,DELIVEROO
CARD BOOTS UK 6076 MANCHESTER UK REF-7822,standard_rate,BOOTS UK
PAYMENT TO MICROSOFT 365 3523  PLC,standard_rate,MICROSOFT 365
octopus energy 131  plc ref-1722,reduced_rate,OCTOPUS ENERGY
SQ *EON NEXT 7047 BIRMINGHAM PLC REF-5561,reduced_rate,EON NEXT
pos hmrc shipley  store,outside_scope,HMRC SHIPLEY
ASDA SUPERMARKET MANCHESTER UK,zero_rated,ASDA SUPERMARKET
UBER EATS 195 LEEDS,standard_rate,UBER EATS
DD LINKEDIN PREMIUM 7896 GLASGOW STORE,standard_rate,LINKEDIN PREMIUM
pos waterstones 4987  plc ref-8396,zero_rated,WATERSTONES
Iz *Microsoft 365  Store Ref-9573,standard_rate,MICROSOFT 365
PAYMENT TO SAINSBURYS 7512 UK UK,zero_rated,SAINSBURYS
PAYMENT TO AMAZON KINDLE LONDON STORE,zero_rated,AMAZON KINDLE
POS BARCLAYS BANK BRISTOL LTD,exempt,BARCLAYS BANK
POS STATIONERY STATION 7660 BIRMINGHAM ONLINE,standard_rate,STATIONERY STATION
SQ *LINKEDIN PREMIUM 3859 UK LTD,standard_rate,LINKEDIN PREMIUM
POS AMAZON UK 5253 MANCHESTER DIRECT REF-8250,standard_rate,AMAZON UK
XERO SOFTWARE  REF-2647,standard_rate,XERO SOFTWARE
CARD ALDI STORES 8483 ONLINE LTD REF-3619,zero_rated,ALDI STORES
PAYROLL TRANSFER ONLINE UK,outside_scope,PAYROLL TRANSFER
POS LNER TICKETS,zero_rated,LNER TICKETS
CARD LNER TICKETS ONLINE STORE,zero_rated,LNER TICKETS
Card Hmrc Payments 4279,outside_scope,HMRC PAYMENTS
DD LNER TICKETS  LTD,zero_rated,LNER TICKETS
Card Director Drawings 5397  Uk,outside_scope,DIRECTOR DRAWINGS
DD BOOTS UK 4937  LTD REF-9245,standard_rate,BOOTS UK
PAYMENT TO TRAINLINE BIRMINGHAM PLC,zero_rated,TRAINLINE
PAYMENT TO ROYAL MAIL 5694 BRISTOL ONLINE,exempt,ROYAL MAIL
PAYMENT TO MICROSOFT 365 6313 BRISTOL PLC REF-2190,standard_rate,MICROSOFT 365
payment to uber eats 3921 london uk,standard_rate,UBER EATS
CARD GOOGLE WORKSPACE 2210 BRISTOL ONLINE,standard_rate,GOOGLE WORKSPACE
AA BREAKDOWN 4424 BRISTOL ONLINE REF-7394,exempt,AA BREAKDOWN
PAYMENT TO TFL TRAVEL 5407 ONLINE DIRECT,zero_rated,TFL TRAVEL
POST OFFICE 7767 LONDON DIRECT,exempt,POST OFFICE
Pos Eon Next 1940  Store,reduced_rate,EON NEXT
CARD STATIONERY STATION 7666 GLASGOW DIRECT REF-7178,standard_rate,STATIONERY STATION
CARD AMAZON EU 5315  DIRECT REF-6613,standard_rate,AMAZON EU
card payroll transfer  ltd ref-4878,outside_scope,PAYROLL TRANSFER
Aldi Stores London Store Ref-1086,zero_rated,ALDI STORES
POS SAINSBURYS BIRMINGHAM STORE,zero_rated,SAINSBURYS
PAYMENT TO AMAZON EU 4817 LONDON DIRECT REF-8476,standard_rate,AMAZON EU
CARD HMRC SHIPLEY UK ONLINE REF-1911,outside_scope,HMRC SHIPLEY
Tesco Stores 7811  Online,zero_rated,TESCO STORES
