raw_description,vat_code
DD AMAZON EU 8551 LEEDS PLC,standard_rate
LIDL GB 7544 ONLINE ONLINE,zero_rated
NATIONAL EXPRESS 4745 MANCHESTER ONLINE,zero_rated
Sq *British Gas 7211 Glasgow Plc Ref-1935,reduced_rate
POS INTRA ACCOUNT TRANSFER MANCHESTER UK,outside_scope
Card Boots Uk 9641  Ltd,standard_rate
POS XERO SOFTWARE  ONLINE REF-9786,standard_rate
CARD BRITISH GAS 4665 MANCHESTER UK,reduced_rate
POS NATIONAL EXPRESS 7953  DIRECT,zero_rated
CARD BRITISH GAS  LTD REF-9281,reduced_rate
Dd Sainsburys 4466  Plc,zero_rated
SQ *AMAZON EU 8581  UK,standard_rate
CARD HMRC PAYMENTS 655 UK PLC,outside_scope
IZ *NATIONAL EXPRESS 9420  ONLINE,zero_rated
PAYMENT TO HSBC BANK FEES LEEDS REF-4153,exempt
SQ *STATIONERY STATION 1887 GLASGOW DIRECT,standard_rate
IZ *STATIONERY STATION MANCHESTER DIRECT REF-9899,standard_rate
IZ *LNER TICKETS 7318 LEEDS LTD,zero_rated
SQ *ASDA SUPERMARKET,zero_rated
IZ *TRAINLINE 2758 MANCHESTER LTD,zero_rated
Iz *Deliveroo Glasgow Ltd Ref-9673,standard_rate
CARD AVIVA INSURANCE  STORE REF-6130,exempt
Iz *Amazon Kindle London Plc,zero_rated
Dd Lner Tickets 6208 Glasgow Ltd,zero_rated
IZ *ROYAL MAIL 8486 LEEDS PLC,exempt
POS WATERSTONES 366 LONDON STORE,zero_rated
IZ *WESTMINSTER COUNCIL 3267 GLASGOW UK,outside_scope
payment to tfl travel 8798 birmingham,zero_rated
EDF ENERGY 7858 GLASGOW ONLINE,reduced_rate
payment to waterstones 7342 bristol uk ref-3301,zero_rated
POS LNER TICKETS 1519 BRISTOL LTD REF-6116,zero_rated
card sage subscription 4578 leeds direct,standard_rate
hmrc payments 8490 london plc ref-7830,outside_scope
IZ *LIDL GB  PLC,zero_rated
Payment To Aa Breakdown 9220 Glasgow Ltd,exempt
INTRA ACCOUNT TRANSFER BRISTOL LTD,outside_scope
TRAINLINE LEEDS UK,zero_rated
SQ *AMAZON EU 8648 LONDON STORE,standard_rate
PAYMENT TO UBER EATS 990 ONLINE,standard_rate
DD SAGE SUBSCRIPTION 2012  UK REF-3593,standard_rate
IZ *GOOGLE WORKSPACE 3888 LEEDS LTD,standard_rate
EDF ENERGY 5176 LEEDS PLC,reduced_rate
IZ *UBER EATS 5571 LONDON UK,standard_rate
DD EDF ENERGY UK PLC,reduced_rate
amazon eu 8499 london direct ref-3445,standard_rate
IZ *QUICKBOOKS 3217  UK,standard_rate
CARD BARCLAYS BANK 1036  LTD,exempt
DD ALDI STORES  STORE REF-6621,zero_rated
CARD HMRC SHIPLEY 8053 GLASGOW ONLINE REF-4351,outside_scope
dd microsoft 365 online plc,standard_rate
DD LINKEDIN PREMIUM 1700 LONDON PLC REF-4170,standard_rate
IZ *XERO SOFTWARE MANCHESTER PLC,standard_rate
POS OCTOPUS ENERGY 2798  STORE REF-6486,reduced_rate
CARD EDF ENERGY 7910  LTD REF-3317,reduced_rate
dd sage subscription 6969 leeds uk ref-4360,standard_rate
CARD GOOGLE WORKSPACE 5461  LTD,standard_rate
IZ *XERO SOFTWARE 1139  LTD,standard_rate
IZ *PAYROLL TRANSFER  STORE REF-3390,outside_scope
CARD WESTMINSTER COUNCIL 8005  STORE,outside_scope
DD TESCO STORES LEEDS ONLINE,zero_rated
IZ *POST OFFICE 1446  UK REF-9972,exempt
POS BOOTS UK 4357  UK REF-7368,standard_rate
Iz *Lner Tickets 8652 Uk,zero_rated
CARD SAGE SUBSCRIPTION  STORE,standard_rate
IZ *TESCO EXPRESS 1308 ONLINE DIRECT,zero_rated
DD EDF ENERGY ONLINE PLC,reduced_rate
iz *westminster council 1219 uk plc ref-7952,outside_scope
PAYMENT TO ALDI STORES 6199  DIRECT,zero_rated
AMAZON KINDLE 2190 ONLINE STORE,zero_rated
Iz *Tfl Travel 930  Ltd,zero_rated
Iz *Xero Software 3709 London Uk,standard_rate
SQ *TESCO EXPRESS 810 LEEDS LTD REF-9543,zero_rated
IZ *AMAZON EU 2128 BRISTOL LTD REF-2395,standard_rate
CARD UBER EATS 230  LTD,standard_rate
DD POST OFFICE 723 MANCHESTER PLC REF-7298,exempt
DD HMRC SHIPLEY ONLINE UK REF-6056,outside_scope
IZ *EDF ENERGY ONLINE DIRECT,reduced_rate
Payment To Amazon Kindle 6507 Glasgow Online,zero_rated
sq *boots uk  direct ref-8039,standard_rate
IZ *HMRC PAYMENTS LONDON STORE REF-4439,outside_scope
payroll transfer 7588  store ref-6356,outside_scope
uber eats 8184  ltd,standard_rate
TFL TRAVEL 1716 LEEDS PLC,zero_rated
Sq *Hsbc Bank Fees 6499 Bristol Ltd,exempt
POS AMAZON KINDLE 6923  PLC,zero_rated
POS POST OFFICE 487 BRISTOL STORE,exempt
DD EDF ENERGY LONDON STORE,reduced_rate
DD WATERSTONES 2380 GLASGOW STORE REF-4268,zero_rated
POS AVIVA INSURANCE  STORE REF-7246,exempt
dd quickbooks 917  uk,standard_rate
Payment To Intra Account Transfer 4154 Online Direct Ref-4331,outside_scope
PAYMENT TO TESCO STORES 7632 GLASGOW LTD REF-8135,zero_rated
SQ *ASDA SUPERMARKET BRISTOL STORE REF-6633,zero_rated
DD STATIONERY STATION 1615  ONLINE REF-8053,standard_rate
Payment To Amazon Kindle 5637  Direct Ref-5092,zero_rated
payment to adobe creative glasgow store,standard_rate
SQ *INTRA ACCOUNT TRANSFER  LTD,outside_scope
PAYMENT TO EON NEXT 9515 BIRMINGHAM,reduced_rate
Payment To Eon Next  Uk,reduced_rate
Card British Gas 2008 Bristol Ltd Ref-2295,reduced_rate
pos edf energy 6470  direct,reduced_rate
POS UBER EATS 882  PLC,standard_rate
dd lidl gb leeds online,zero_rated
SQ *EDF ENERGY 2006 ONLINE UK REF-2072,reduced_rate
SQ *ASDA SUPERMARKET 9417  DIRECT,zero_rated
Payment To Barclays Bank 4397  Ltd Ref-6614,exempt
PAYMENT TO AA BREAKDOWN 8030  DIRECT,exempt
DD WESTMINSTER COUNCIL  REF-3354,outside_scope
Payment To Hmrc Shipley 8835 Bristol Plc,outside_scope
DD ASDA SUPERMARKET 9075 BRISTOL DIRECT REF-4560,zero_rated
Dd Tfl Travel  Uk,zero_rated
sq *tfl travel 5195 bristol direct ref-2572,zero_rated
card tesco express 4803 london direct,zero_rated
sq *google workspace 9446 glasgow store,standard_rate
SQ *ROYAL MAIL 3439 ONLINE PLC,exempt
Dd Tfl Travel 4886 Bristol Uk Ref-6036,zero_rated
PAYMENT TO TFL TRAVEL 2675  DIRECT,zero_rated
POS POST OFFICE  ONLINE,exempt
DD BRITISH GAS 271 LONDON UK,reduced_rate
CARD LINKEDIN PREMIUM ONLINE ONLINE,standard_rate
DD TRAINLINE BIRMINGHAM STORE,zero_rated
Sq *Director Drawings 9582 London Store Ref-6106,outside_scope
card tesco express 8435 birmingham uk,zero_rated
Dd National Express 2904 Leeds Plc Ref-7997,zero_rated
POS HMRC PAYMENTS LEEDS STORE,outside_scope
DD HMRC PAYMENTS 3347  ONLINE REF-8023,outside_scope
CARD AMAZON EU LONDON ONLINE,standard_rate
SQ *BOOTS UK 3285  DIRECT,standard_rate
SQ *HSBC BANK FEES 1392 BRISTOL,exempt
ROYAL MAIL  STORE REF-6856,exempt
IZ *ROYAL MAIL 3189 LEEDS PLC REF-1063,exempt
DD AMAZON UK  DIRECT REF-7598,standard_rate
PAYMENT TO SAGE SUBSCRIPTION 533 BIRMINGHAM UK,standard_rate
IZ *WATERSTONES 5312 BIRMINGHAM DIRECT,zero_rated
IZ *MICROSOFT 365 2815 BRISTOL ONLINE,standard_rate
Iz *Tesco Stores 3133  Plc,zero_rated
Pos Sainsburys  Ltd,zero_rated
Dd Tfl Travel 8228  Online,zero_rated
CARD TESCO EXPRESS UK ONLINE,zero_rated
PAYMENT TO HMRC PAYMENTS 6413  DIRECT,outside_scope
DD QUICKBOOKS 320 LONDON DIRECT REF-1603,standard_rate
POST OFFICE 2539 BRISTOL ONLINE,exempt
sq *national express 2178 london store ref-1619,zero_rated
Sq *Post Office Leeds Store Ref-7070,exempt
Sq *Lner Tickets 1493 Leeds Uk,zero_rated
POS BOOTS UK 1582 LEEDS LTD,standard_rate
SQ *DIRECTOR DRAWINGS UK LTD,outside_scope
POS SAGE SUBSCRIPTION 2050 ONLINE PLC,standard_rate
Payment To Octopus Energy Online Direct,reduced_rate
PAYMENT TO UBER EATS LONDON REF-1093,standard_rate
Payment To Aviva Insurance 9020 Bristol,exempt
SQ *LINKEDIN PREMIUM  ONLINE,standard_rate
DD BARCLAYS BANK MANCHESTER UK,exempt
Dd Amazon Kindle 8170 Uk Direct,zero_rated
PAYMENT TO HMRC PAYMENTS UK UK,outside_scope
PAYMENT TO EDF ENERGY 7605  UK REF-6454,reduced_rate
CARD STATIONERY STATION  STORE,standard_rate
iz *trainline 5629 london ltd,zero_rated
DD TESCO EXPRESS GLASGOW UK REF-5902,zero_rated
PAYMENT TO POST OFFICE 5283 MANCHESTER STORE REF-1767,exempt
SQ *GOOGLE WORKSPACE 2944 LONDON,standard_rate
iz *tesco stores leeds uk ref-9837,zero_rated
Payment To Tesco Express 5859 Birmingham Store,zero_rated
DD ALDI STORES 6466  LTD REF-9615,zero_rated
POS HMRC PAYMENTS 8692 BRISTOL DIRECT REF-7567,outside_scope
Dd Tesco Stores Uk Plc,zero_rated
PAYMENT TO INTRA ACCOUNT TRANSFER 8735  UK REF-2073,outside_scope
IZ *TESCO EXPRESS 6680  LTD,zero_rated
Iz *Tfl Travel 6219 Leeds Ref-6771,zero_rated
IZ *AA BREAKDOWN  ONLINE REF-2302,exempt
CARD STATIONERY STATION 6954  DIRECT,standard_rate
CARD STATIONERY STATION 8925 LEEDS STORE,standard_rate
card amazon kindle 1941 online plc,zero_rated
iz *tesco express 5353  store,zero_rated
DD HMRC PAYMENTS 2502  UK REF-5452,outside_scope
dd director drawings  online,outside_scope
card asda supermarket 3834 manchester uk,zero_rated
payment to post office 9713  plc ref-9199,exempt
SQ *ALDI STORES 7936  PLC REF-1533,zero_rated
SQ *ASDA SUPERMARKET 7020 BRISTOL ONLINE REF-9564,zero_rated
pos xero software glasgow ltd ref-5612,standard_rate
POS TESCO STORES 7554  DIRECT,zero_rated
IZ *HMRC PAYMENTS 1025 UK DIRECT,outside_scope
DD BRITISH GAS 1669 UK DIRECT,reduced_rate
DD ROYAL MAIL  UK REF-5201,exempt
sq *aldi stores  online ref-7436,zero_rated
DD DELIVEROO UK DIRECT REF-2315,standard_rate
payment to post office 6272 bristol,exempt
PAYMENT TO UBER EATS UK PLC REF-6316,standard_rate
PAYMENT TO TESCO EXPRESS 6943 ONLINE LTD,zero_rated
Pos Stationery Station 6782 Leeds Store Ref-5404,standard_rate
IZ *LIDL GB 9525 MANCHESTER DIRECT,zero_rated
DD HSBC BANK FEES 8173 BIRMINGHAM,exempt
IZ *WESTMINSTER COUNCIL,outside_scope
DD POST OFFICE 2233  DIRECT,exempt
CARD TRAINLINE 123 ONLINE,zero_rated
sq *post office london store ref-1531,exempt
DD AMAZON KINDLE  LTD REF-9401,zero_rated
Dd Quickbooks 3067 Glasgow Online Ref-3375,standard_rate
CARD XERO SOFTWARE 9920 BRISTOL ONLINE,standard_rate
DD MICROSOFT 365 1104  STORE REF-3233,standard_rate
Pos Waterstones 3821  Plc,zero_rated
Iz *Intra Account Transfer 8756 Online,outside_scope
IZ *UBER EATS BRISTOL UK REF-1794,standard_rate
BRITISH GAS 8652 GLASGOW DIRECT,reduced_rate
PAYMENT TO DELIVEROO 4246  STORE REF-2883,standard_rate
lidl gb  uk ref-2431,zero_rated
POS SAINSBURYS LONDON ONLINE,zero_rated
DD DIRECTOR DRAWINGS BIRMINGHAM STORE REF-5783,outside_scope
IZ *ADOBE CREATIVE 4868  LTD,standard_rate
DD DELIVEROO 7124 ONLINE,standard_rate
CARD BOOTS UK 6076 MANCHESTER UK REF-7822,standard_rate
PAYMENT TO MICROSOFT 365 3523  PLC,standard_rate
octopus energy 131  plc ref-1722,reduced_rate
SQ *EON NEXT 7047 BIRMINGHAM PLC REF-5561,reduced_rate
pos hmrc shipley  store,outside_scope
ASDA SUPERMARKET MANCHESTER UK,zero_rated
UBER EATS 195 LEEDS,standard_rate
DD LINKEDIN PREMIUM 7896 GLASGOW STORE,standard_rate
pos waterstones 4987  plc ref-8396,zero_rated
Iz *Microsoft 365  Store Ref-9573,standard_rate
PAYMENT TO SAINSBURYS 7512 UK UK,zero_rated
PAYMENT TO AMAZON KINDLE LONDON STORE,zero_rated
POS BARCLAYS BANK BRISTOL LTD,exempt
POS STATIONERY STATION 7660 BIRMINGHAM ONLINE,standard_rate
SQ *LINKEDIN PREMIUM 3859 UK LTD,standard_rate
POS AMAZON UK 5253 MANCHESTER DIRECT REF-8250,standard_rate
XERO SOFTWARE  REF-2647,standard_rate
CARD ALDI STORES 8483 ONLINE LTD REF-3619,zero_rated
PAYROLL TRANSFER ONLINE UK,outside_scope
POS LNER TICKETS,zero_rated
CARD LNER TICKETS ONLINE STORE,zero_rated
Card Hmrc Payments 4279,outside_scope
DD LNER TICKETS  LTD,zero_rated
Card Director Drawings 5397  Uk,outside_scope
DD BOOTS UK 4937  LTD REF-9245,standard_rate
PAYMENT TO TRAINLINE BIRMINGHAM PLC,zero_rated
PAYMENT TO ROYAL MAIL 5694 BRISTOL ONLINE,exempt
PAYMENT TO MICROSOFT 365 6313 BRISTOL PLC REF-2190,standard_rate
payment to uber eats 3921 london uk,standard_rate
CARD GOOGLE WORKSPACE 2210 BRISTOL ONLINE,standard_rate
AA BREAKDOWN 4424 BRISTOL ONLINE REF-7394,exempt
PAYMENT TO TFL TRAVEL 5407 ONLINE DIRECT,zero_rated
POST OFFICE 7767 LONDON DIRECT,exempt
Pos Eon Next 1940  Store,reduced_rate
CARD STATIONERY STATION 7666 GLASGOW DIRECT REF-7178,standard_rate
CARD AMAZON EU 5315  DIRECT REF-6613,standard_rate
card payroll transfer  ltd ref-4878,outside_scope
Aldi Stores London Store Ref-1086,zero_rated
POS SAINSBURYS BIRMINGHAM STORE,zero_rated
PAYMENT TO AMAZON EU 4817 LONDON DIRECT REF-8476,standard_rate
CARD HMRC SHIPLEY UK ONLINE REF-1911,outside_scope
Tesco Stores 7811  Online,zero_rated
dd tfl travel 8259 birmingham plc,zero_rated
CARD TFL TRAVEL 1043 BIRMINGHAM DIRECT,zero_rated
Card Sage Subscription 5586 Online Online,standard_rate
Sainsburys  Uk,zero_rated
PAYMENT TO ASDA SUPERMARKET 3404 BRISTOL PLC,zero_rated
DELIVEROO 695 BRISTOL DIRECT,standard_rate
SQ *ASDA SUPERMARKET 3758 BIRMINGHAM DIRECT REF-5767,zero_rated
sq *uber eats 5369 uk direct,standard_rate
iz *sainsburys 6000 uk store,zero_rated
IZ *XERO SOFTWARE 4022 LEEDS PLC REF-9342,standard_rate
card adobe creative glasgow store,standard_rate
DD TRAINLINE 2307 LEEDS PLC,zero_rated
Westminster Council Glasgow Direct,outside_scope
DD AMAZON KINDLE MANCHESTER REF-1478,zero_rated
OCTOPUS ENERGY 874 UK,reduced_rate
OCTOPUS ENERGY  PLC,reduced_rate
dd asda supermarket 7596  plc,zero_rated
POS EON NEXT 7278  ONLINE REF-2819,reduced_rate
dd tfl travel 7298  uk ref-7776,zero_rated
Dd Trainline 7347 Manchester,zero_rated
CARD AMAZON KINDLE 5526  LTD REF-3626,zero_rated
CARD ADOBE CREATIVE BIRMINGHAM STORE,standard_rate
DD OCTOPUS ENERGY 7306  REF-5376,reduced_rate
DD TFL TRAVEL UK PLC,zero_rated
LINKEDIN PREMIUM BIRMINGHAM STORE,standard_rate
Sq *Hmrc Payments 9776  Uk Ref-6446,outside_scope
HMRC SHIPLEY MANCHESTER,outside_scope
card edf energy 8993  plc ref-5920,reduced_rate
POS POST OFFICE 4624  LTD REF-7891,exempt
DD BARCLAYS BANK  LTD,exempt
sq *amazon eu 133  uk ref-1070,standard_rate
Payment To Waterstones  Online,zero_rated
IZ *LNER TICKETS GLASGOW UK,zero_rated
Iz *Westminster Council 1861 London Plc,outside_scope
Card National Express 9538 Birmingham Plc Ref-7412,zero_rated
POS TESCO EXPRESS 9549  LTD,zero_rated
PAYMENT TO INTRA ACCOUNT TRANSFER 4978 LONDON ONLINE,outside_scope
DD AMAZON UK 6822 BIRMINGHAM PLC REF-6233,standard_rate
Tesco Express 9445 Leeds Direct Ref-8564,zero_rated
dd royal mail  direct,exempt
IZ *STATIONERY STATION 391  LTD,standard_rate
IZ *AVIVA INSURANCE  STORE REF-9004,exempt
dd hsbc bank fees 6711 glasgow online ref-5298,exempt
SQ *SAGE SUBSCRIPTION 9780 LONDON PLC REF-6582,standard_rate
GOOGLE WORKSPACE 8470 BIRMINGHAM LTD,standard_rate
IZ *NATIONAL EXPRESS  DIRECT REF-9502,zero_rated
Iz *Xero Software 3766,standard_rate
CARD LNER TICKETS BRISTOL STORE,zero_rated
DD HMRC SHIPLEY 5969 BIRMINGHAM LTD REF-7546,outside_scope
SQ *MICROSOFT 365 BIRMINGHAM STORE REF-6199,standard_rate
Iz *Lidl Gb 1340  Plc Ref-5528,zero_rated
DD TESCO STORES 2673  ONLINE,zero_rated
POS DELIVEROO 5470  REF-6380,standard_rate
DD BOOTS UK 9306 ONLINE ONLINE REF-4764,standard_rate
IZ *TESCO EXPRESS 6961  LTD,zero_rated
IZ *TRAINLINE 3644 UK LTD REF-6418,zero_rated
SQ *BRITISH GAS 8861 BRISTOL DIRECT,reduced_rate
SQ *WATERSTONES 7009 MANCHESTER UK REF-8130,zero_rated
Payment To Linkedin Premium 5726 London Store,standard_rate
IZ *HMRC SHIPLEY 3561 MANCHESTER DIRECT,outside_scope
pos british gas 7943  store,reduced_rate
iz *aldi stores 5162 leeds plc ref-9582,zero_rated
POST OFFICE 4871 LONDON LTD,exempt
DD BRITISH GAS 7082  UK,reduced_rate
IZ *PAYROLL TRANSFER BIRMINGHAM LTD,outside_scope
CARD PAYROLL TRANSFER 516 MANCHESTER PLC REF-2611,outside_scope
POS BRITISH GAS  LTD,reduced_rate
IZ *STATIONERY STATION 2994 GLASGOW DIRECT,standard_rate
PAYMENT TO HMRC SHIPLEY 6556  DIRECT REF-1611,outside_scope
DD GOOGLE WORKSPACE 4765 GLASGOW UK REF-3553,standard_rate
DD BARCLAYS BANK 647  UK,exempt
IZ *UBER EATS 9468 BIRMINGHAM ONLINE,standard_rate
SQ *HMRC PAYMENTS UK DIRECT,outside_scope
eon next leeds uk,reduced_rate
Card Aa Breakdown 5359 Bristol Store,exempt
Sq *Lidl Gb 3652  Ltd Ref-2995,zero_rated
Sq *Linkedin Premium  Ltd,standard_rate
dd waterstones 3314 london ltd,zero_rated
CARD AMAZON EU 736 MANCHESTER ONLINE REF-3039,standard_rate
Iz *Boots Uk 7058  Online,standard_rate
PAYMENT TO UBER EATS 4578  PLC,standard_rate
Dd Tesco Stores 1233 Manchester Store Ref-9727,zero_rated
PAYMENT TO POST OFFICE 747  PLC REF-2111,exempt
SQ *AMAZON EU 478 LEEDS ONLINE REF-9731,standard_rate
Dd Tesco Express 5538  Uk,zero_rated
POS HMRC SHIPLEY 6726 LONDON DIRECT REF-6953,outside_scope
OCTOPUS ENERGY BIRMINGHAM,reduced_rate
IZ *SAGE SUBSCRIPTION 4404 UK PLC REF-5892,standard_rate
sq *hsbc bank fees 9512  uk ref-1405,exempt
sq *aa breakdown 3750 birmingham ref-6846,exempt
dd intra account transfer leeds uk,outside_scope
Payment To Hsbc Bank Fees 297  Ltd,exempt
payment to sage subscription 181  store,standard_rate
CARD LNER TICKETS 1258 LEEDS,zero_rated
Pos Asda Supermarket 431 Bristol Online,zero_rated
SQ *TFL TRAVEL 6328  ONLINE,zero_rated
Amazon Uk London Online,standard_rate
pos aldi stores online uk,zero_rated
card tesco stores,zero_rated
DD STATIONERY STATION 2007  UK,standard_rate
Sainsburys Bristol Direct,zero_rated
QUICKBOOKS  PLC REF-2156,standard_rate
dd tfl travel 9199 uk uk ref-2292,zero_rated
UBER EATS 5481  UK REF-1394,standard_rate
card adobe creative 3511  uk,standard_rate
Card Sainsburys 9794 Leeds Store Ref-4201,zero_rated
PAYMENT TO SAINSBURYS 2392 GLASGOW ONLINE REF-2284,zero_rated
CARD HSBC BANK FEES  STORE,exempt
CARD ASDA SUPERMARKET MANCHESTER REF-7249,zero_rated
CARD TESCO STORES 4197  STORE,zero_rated
payment to amazon uk 2573  ref-1947,standard_rate
SQ *HSBC BANK FEES ONLINE PLC,exempt
POS LIDL GB MANCHESTER LTD,zero_rated
card hmrc shipley leeds ltd,outside_scope
Iz *Waterstones 8129 Leeds Ltd Ref-6274,zero_rated
SQ *BRITISH GAS UK UK REF-5524,reduced_rate
Dd Linkedin Premium 7779 Online Ltd Ref-1757,standard_rate
XERO SOFTWARE 8059 MANCHESTER UK,standard_rate
DD AVIVA INSURANCE 5387  LTD REF-5559,exempt
IZ *BRITISH GAS 683 LEEDS REF-1130,reduced_rate
SQ *TRAINLINE 6473 MANCHESTER ONLINE,zero_rated
CARD STATIONERY STATION 6172 BRISTOL DIRECT REF-2681,standard_rate
DD AMAZON EU MANCHESTER REF-9600,standard_rate
Payment To Xero Software 2723  Ltd,standard_rate
dd microsoft 365 5021 online plc ref-2133,standard_rate
DD BRITISH GAS GLASGOW LTD,reduced_rate
CARD HMRC PAYMENTS 2460  UK,outside_scope
POS SAGE SUBSCRIPTION 488 LONDON PLC REF-2676,standard_rate
POS EON NEXT LEEDS PLC,reduced_rate
SQ *AVIVA INSURANCE 1730 LEEDS UK,exempt
SQ *TRAINLINE 1548  PLC REF-1446,zero_rated
PAYMENT TO LIDL GB 5058  PLC,zero_rated
